"Front","Back"
"What is compensation in vocal training?","Compensation is when we consciously try to achieve some vocal goal but lack the coordination or feel we lack it. As a result, the body recruits muscles it doesn't need, just to force the goal to be achieved, often leading to unhelpful and hard-to-change habits."
"What drives vocal compensation?","Compensation in vocal training is driven by a lack of awareness and effort, with many attempts to reduce it being passive awareness; it's about knowing what is happening and drawing attention to it, not trying too hard to change it."
"What are common compensations in training?","Common compensations in singing include strain, tension and fatigue, breathiness, and buzzy or rattle-like sounds (FVF or hyperadduction)."
"What is conflation in vocal training?","Conflation is when we confuse or link together similar vocal concepts or sounds, often due to a misunderstanding of how something sounds, which leads to ineffective vocal practices."
"What are common conflations in vocal training?","Common vocal conflations include pitch and resonance, pitch and tension, pitch and breathiness, closure and tension, resonance and tongue root."
"What is pitch-resonance conflation?","Pitch-resonance conflation occurs when we either try to raise pitch but larynx raises/resonance raises instead, try to change resonance but pitch changes, or both pitch and resonance change when trying to modify only one."
"Is a small amount of pitch-resonance conflation normal?","A small amount of pitch-resonance conflation is normal and necessary for vocal naturalness, but if it's completely involuntary it can get in the way of training and reduce pitch and resonance range."
"Why can pitch-resonance conflation be problematic?","Pitch-resonance conflation can be problematic because trying to do high resonance training or voice exercises can lead to a reduced resonance range due to involuntary changes between voiced and unvoiced sounds."
"What are vocal covers?","Vocal covers are features of voice that are unintended and usually mute or otherwise impede the intended function or sound."
"What is tongue root retraction?","Tongue root retraction is associated with a slightly dark quality in voice, sounding as if something is stuck in the throat, achieved by moving the base of the tongue backward."
"Which characters are known for tongue root retraction?","Stitch, Kermit, and Meatwad are associated with tongue root retraction."
"What is Low IA Hollowness?","Low IA Hollowness occurs when IA closure voices become hollow, losing their harmonic power and brightness, sounding similar to M2/falsetto."
"What is nasality in voice?","Nasality occurs when air is let through the nasal passage on sounds that don't need this. It sounds honky if there are nasal sounds in phrases that don't require nasal sounds."
"How can you test for nasality?","You can test for nasality by saying a phrase that doesn't contain nasal sounds like M, N, or NG, and pinching the nose; if it sounds honky, it is nasal."
"What are subharmonics?","Subharmonics sound similar to creak or vocal fry but are more harmonic and less like random noise. They result from vocal fold tension/constriction and too much closure for the level of pressure/airflow."
"What is unique about subharmonics?","Subharmonics present as 'extra harmonics' or duplicated vocal fold cycles and can sound like there are two voices at once. They can indicate a battle between air that wants to leave and vocal folds that are too tight."
"In what way can subharmonics be used in singing?","Subharmonics can be used in singing to hit lower notes or as a stylistic choice, such as in certain types of overtone singing."
"What is subglottal resonance?","Subglottal resonance pertains to the resonance chambers below the glottis in the airway and the resonance frequencies that occur when the glottis is open or closed."
"How does the state of the glottis affect resonance frequency?","When the glottis is closed, it effectively halves the length of the vocal tract, which could double the resonance frequency. However, in practical voice usage, this effect is minimal."
